ID,Int_Type,WH-Pronoun,Verb,WH_SynFun,Region_birth,Participant_role,Information_seeking,Function
1,bare,(che) cosa,no,ADJ,PIEDMONT,INTERVIEWER,y,ELB
2,insitu,(che) cosa,yes,DOJ,PIEDMONT,INTERVIEWEE,y,ELB
3,insitu,(che) cosa,yes,ADJ,PIEDMONT,EXAMINER,no,EXA
4,insitu,(che) cosa,yes,DOJ,PIEDMONT,EXAMINER,no,EXA
5,insitu,(che) cosa,yes,IOJ,CAMPANIA,CONV_PARTNER,no,SRC
6,insitu,(che) cosa,yes,IOJ,PIEDMONT,INTERVIEWEE,y,ELB
7,insitu,(che) cosa,yes,IOJ,PIEDMONT,LECTURER,no,EXA
8,insitu,(che) cosa,yes,ADJ,EMILIA,CONV_PARTNER,y,ELB
9,insitu,(che) cosa,yes,ADJ,VENETIAN,CONV_PARTNER,y,ELB
10,insitu,(che) cosa,yes,ADJ,PIEDMONT,EXAMINER,no,EXA
11,insitu,(che) cosa,yes,DOJ,PIEDMONT,EXAMINER,no,EXA
12,insitu,(che) cosa,yes,ADJ,PIEDMONT,CONV_PARTNER,y,REQ
13,insitu,(che) cosa,yes,ADJ,CAMPANIA,CONV_PARTNER,no,RHE
14,bare,(che) cosa,no,DOJ,CAMPANIA,CONV_PARTNER,no,CHL
15,insitu,(che) cosa,yes,DOJ,TUSCANY,CONV_PARTNER,y,ELB
16,insitu,(che) cosa,yes,ADJ,SICILY,INTERVIEWER,y,ELB
17,insitu,(che) cosa,yes,DOJ,TUSCANY,LECTURER,no,EXA
18,insitu,(che) cosa,yes,IOJ,TUSCANY,LECTURER,no,SRH
19,insitu,(che) cosa,yes,DOJ,PIEDMONT,CONV_PARTNER,y,ELB
20,insitu,(che) cosa,no,ADJ,EMILIA,CONV_PARTNER,y,ELB
21,insitu,(che) cosa,yes,DOJ,EMILIA,CONV_PARTNER,y,ELB
22,bare,(che) cosa,no,NA,ABRUZZO,CONV_PARTNER,y,ELB
